sourceLogicalName,targetLogicalName,sourceLabel,targetLabel,sourceType,targetType,targetExists,targetFormTab,targetSection,columnIndex,rowIndex,displayOrder,headerPlacement,viewPlacement,metadataOnly,simulationType,typeMismatch,specialControl,visible,disabled,readOnlyRecommendation,safeContextPolicy,providerPayloadPolicy
"new_project_size_unit","aigw_projectsizeunit","案件物量規模单位","案件物量规模单位","optionset","Picklist","true","摘要","商机详细信息","0","2","5","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_warehouse_scale","aigw_warehousescale","仓库规模","仓库规模","optionset","Picklist","true","摘要","商机详细信息","1","2","6","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_trade_terms","aigw_tradeterms","貿易条件","贸易条件","optionset","Picklist","true","摘要","商机详细信息","0","3","7","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_transport_mode","aigw_transportmode","运送模式","运送模式","optionset","Picklist","true","摘要","商机详细信息","1","3","8","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_spot_continuous","aigw_spotcontinuous","一次性/持续性","一次性/持续性","boolean","Boolean","true","摘要","商机详细信息","0","4","9","false","true","false","none","false","boolean","true","false","editable","choice_label","choice_label_only"
"new_sealand_pol","aigw_sealandpol","海运/陆运装货港","海运/陆运装货港","lookup","String","true","摘要","POL&POD","0","0","1","false","true","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_sealand_pod","aigw_sealandpod","海运/陆运卸货港","海运/陆运卸货港","lookup","String","true","摘要","POL&POD","1","0","2","false","true","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_air_pol","aigw_airpol","空运装货港","空运装货港","lookup","String","true","摘要","POL&POD","0","1","3","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_air_pod","aigw_airpod","空运卸货港","空运卸货港","lookup","String","true","摘要","POL&POD","1","1","4","false","false","false","lookup_simulated_as_text","false","lookup_simulated_as_text","true","false","editable","region_or_mode_only","exclude"
"new_priority","aigw_priority_choice","Priority","Priority","optionset","Picklist","true","摘要","汇总信息","0","0","1","false","false","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_budgeted_or_not","aigw_budgetstatus","是否预算内","是否预算内","boolean","Boolean","true","摘要","汇总信息","1","0","2","true","true","false","none","false","boolean","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_background","aigw_researchbackground_choice","调查背景","调查背景","optionset","Picklist","true","摘要","汇总信息","0","1","3","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_decider","aigw_decider_choice","决裁者","决裁者","optionset","Picklist","true","摘要","汇总信息","1","1","4","false","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"new_customerneed","aigw_customerneed_choice","客户需求","客户需求","optionset","Picklist","true","摘要","汇总信息","0","2","5","false","true","false","none","false","choice","true","false","editable","sanitized_summary","sanitized_summary_only"
"new_proposedsolution","aigw_proposalcontent_choice","提案内容","提案内容","optionset","Picklist","true","摘要","汇总信息","1","2","6","false","true","false","none","false","choice","true","false","editable","sanitized_summary","sanitized_summary_only"
"new_win_reason","aigw_wonreason_choice","受注理由","受注理由","optionset","Picklist","true","摘要","汇总信息","0","3","7","false","true","false","none","false","choice","true","false","editable","sanitized_summary","sanitized_summary_only"
"new_lost_reason","aigw_lostreason_choice","失注理由","失注理由","optionset","Picklist","true","摘要","汇总信息","1","3","8","false","true","false","none","false","choice","true","false","editable","sanitized_summary","sanitized_summary_only"
"statecode","statecode","状态","Status","optionset","State","true","相关","系统字段","0","0","0","false","false","true","none","false","text","false","true","systemManaged","choice_label","choice_label_only"
"new_estimated_quote_amount","aigw_estimatedquoteamount","预计报价金额","预计报价金额","money","Money","true","摘要","预算摘要","0","0","1","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"estimatedclosedate","estimatedclosedate","预计下单日","Est. close date","datetime","DateTime","true","摘要","预算摘要","1","0","2","false","true","false","none","false","date","true","false","editable","exclude","exclude"
"estimatedvalue","estimatedvalue","预算金额","Est. revenue","money","Money","true","摘要","预算摘要","0","1","3","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_capability","aigw_winprobabilityrank","受注确度","受注确度","optionset","Picklist","true","摘要","预算摘要","1","1","4","true","true","false","none","false","choice","true","false","editable","choice_label","choice_label_only"
"crc49_capabilitya","aigw_capabilitya","Capability-A","Capability-A","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","exclude","exclude"
"crc49_capabilityb","aigw_capabilityb","Capability-B","Capability-B","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","exclude","exclude"
"crc49_capabilityc","aigw_capabilityc","Capability-C","Capability-C","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","exclude","exclude"
"crc49_capabilityd","aigw_capabilityd","Capability-D","Capability-D","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","exclude","exclude"
"crc49_capabilityzy","aigw_capabilityzy","Capability-ZY","Capability-ZY","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","exclude","exclude"
"crc49_capabilitygpmpa","aigw_capabilitygpmpa","Capability(GP/MP)-A","Capability(GP/MP)-A","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","amount_band_or_trend","exact_amount_prohibited"
"crc49_capabilitygpmpb","aigw_capabilitygpmpb","Capability(GP/MP)-B","Capability(GP/MP)-B","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","amount_band_or_trend","exact_amount_prohibited"
"crc49_capabilitygpmpc","aigw_capabilitygpmpc","Capability(GP/MP)-C","Capability(GP/MP)-C","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","amount_band_or_trend","exact_amount_prohibited"
"crc49_capabilitygpmpd","aigw_capabilitygpmpd","Capability(GP/MP)-D","Capability(GP/MP)-D","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","amount_band_or_trend","exact_amount_prohibited"
"crc49_capabilitygpmpzy","aigw_capabilitygpmpzy","Capability(GP/MP)-ZY","Capability(GP/MP)-ZY","decimal","Decimal","true","相关","保留 metadata","0","0","0","false","false","true","none","false","decimal","false","true","notOnReplica","amount_band_or_trend","exact_amount_prohibited"
"new_year_revenue_budget","aigw_yearrevenuebudget","年度收入预算总金额","年度收入预算总金额","decimal","Decimal","true","摘要","年度预算摘要","0","0","1","false","false","false","none","false","decimal","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"crc49_year_gpmp_budget","aigw_yeargpmpbudget","年度毛利润/边际利润预算总金额","年度毛利润/边际利润预算总金额","decimal","Decimal","true","摘要","年度预算摘要","1","0","2","false","false","false","none","false","decimal","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"crc49_revenuebudgetcapabilitypercentagevalue","aigw_revenuebudgetcapabilitypercentagevalue","根据受注确度计算后的收入预算金额","根据受注确度计算后的收入预算金额","money","Money","true","摘要","年度预算摘要","0","1","3","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"crc49_gpmpbudgetprobabilityofsecuringpercentageval","aigw_gpmpbudgetprobabilityofsecuringpercentageval","根据受注确度计算后的毛利润/边际利润预算金额","根据受注确度计算后的毛利润/边际利润预算金额","money","Money","true","摘要","年度预算摘要","1","1","4","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"crc49_revenuebudgetcapabilitypercentagevalue_base","aigw_revenuebudgetcapabilitypercentagevaluebase","根据受注确度计算后的收入预算金额(CNY)","根据受注确度计算后的收入预算金额(CNY)","money","Money","true","摘要","年度预算摘要","0","2","5","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"crc49_gpmpbudgetprobabilityofsecuringpercentageval_base","aigw_gpmpbudgetprobabilityofsecuringpercentagevalbase","根据受注确度计算后的毛利润/边际利润预算金额 (CNY)","根据受注确度计算后的毛利润/边际利润预算金额 (CNY)","money","Money","true","摘要","年度预算摘要","1","2","6","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"actualclosedate","actualclosedate","受注日期","Actual Close Date","datetime","DateTime","true","摘要","实绩摘要","0","0","1","false","true","false","none","false","date","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"new_yearrevenueactural","aigw_yearrevenueactual","年度收入实绩总金额","年度收入实绩总金额","money","Money","true","摘要","实绩摘要","1","0","2","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"new_yearrevenueactural_base","aigw_yearrevenueactualcny","年度收入实绩总金额(CNY)","年度收入实绩总金额(CNY)","money","Money","true","摘要","实绩摘要","0","1","3","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"actualvalue","actualvalue","受注金额","Actual Revenue","money","Money","true","摘要","实绩摘要","1","1","4","false","false","false","none","false","currency","true","false","readOnlyWhenCalculated","amount_band_or_trend","exact_amount_prohibited"
"new_m4_revenue_budget","aigw_m4revenuebudget","4月收入预算金额","4月收入预算金额","money","Money","true","预算","1Q","0","0","0","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m4_gpmp_budget","aigw_m4gpmpbudget","4月毛利润/边际利润预算金额","4月毛利润/边际利润预算金额","money","Money","true","预算","1Q","1","0","10","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m4volumebudget","aigw_m4volumebudget","4月物量预算数","4月物量预算数","decimal","Decimal","true","预算","1Q","2","0","20","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m5_revenue_budget","aigw_m5revenuebudget","5月收入预算金额","5月收入预算金额","money","Money","true","预算","1Q","0","1","1","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m5_gpmp_budget","aigw_m5gpmpbudget","5月毛利润/边际利润预算金额","5月毛利润/边际利润预算金额","money","Money","true","预算","1Q","1","1","11","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m5volumebudget","aigw_m5volumebudget","5月物量预算数","5月物量预算数","decimal","Decimal","true","预算","1Q","2","1","21","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m6_revenue_budget","aigw_m6revenuebudget","6月收入预算金额","6月收入预算金额","money","Money","true","预算","1Q","0","2","2","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m6_gpmp_budget","aigw_m6gpmpbudget","6月毛利润/边际利润预算金额","6月毛利润/边际利润预算金额","money","Money","true","预算","1Q","1","2","12","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m6volumebudget","aigw_m6volumebudget","6月物量预算数","6月物量预算数","decimal","Decimal","true","预算","1Q","2","2","22","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m7_revenue_budget","aigw_m7revenuebudget","7月收入预算金额","7月收入预算金额","money","Money","true","预算","2Q","0","0","0","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m7_gpmp_budget","aigw_m7gpmpbudget","7月毛利润/边际利润预算金额","7月毛利润/边际利润预算金额","money","Money","true","预算","2Q","1","0","10","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m7volumebudget","aigw_m7volumebudget","7月物量预算数","7月物量预算数","decimal","Decimal","true","预算","2Q","2","0","20","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m8_revenue_budget","aigw_m8revenuebudget","8月收入预算金额","8月收入预算金额","money","Money","true","预算","2Q","0","1","1","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m8_gpmp_budget","aigw_m8gpmpbudget","8月毛利润/边际利润预算金额","8月毛利润/边际利润预算金额","money","Money","true","预算","2Q","1","1","11","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m8volumebudget","aigw_m8volumebudget","8月物量预算数","8月物量预算数","decimal","Decimal","true","预算","2Q","2","1","21","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m9_revenue_budget","aigw_m9revenuebudget","9月收入预算金额","9月收入预算金额","money","Money","true","预算","2Q","0","2","2","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m9_gpmp_budget","aigw_m9gpmpbudget","9月毛利润/边际利润预算金额","9月毛利润/边际利润预算金额","money","Money","true","预算","2Q","1","2","12","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m9volumebudget","aigw_m9volumebudget","9月物量预算数","9月物量预算数","decimal","Decimal","true","预算","2Q","2","2","22","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m10_revenue_budget","aigw_m10revenuebudget","10月收入预算金额","10月收入预算金额","money","Money","true","预算","3Q","0","0","0","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m10_gpmp_budget","aigw_m10gpmpbudget","10月毛利润/边际利润预算金额","10月毛利润/边际利润预算金额","money","Money","true","预算","3Q","1","0","10","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m10volumebudget","aigw_m10volumebudget","10月物量预算数","10月物量预算数","decimal","Decimal","true","预算","3Q","2","0","20","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m11_revenue_budget","aigw_m11revenuebudget","11月收入预算金额","11月收入预算金额","money","Money","true","预算","3Q","0","1","1","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m11_gpmp_budget","aigw_m11gpmpbudget","11月毛利润/边际利润预算金额","11月毛利润/边际利润预算金额","money","Money","true","预算","3Q","1","1","11","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m11volumebudget","aigw_m11volumebudget","11月物量预算数","11月物量预算数","decimal","Decimal","true","预算","3Q","2","1","21","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m12_revenue_budget","aigw_m12revenuebudget","12月收入预算金额","12月收入预算金额","money","Money","true","预算","3Q","0","2","2","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m12_gpmp_budget","aigw_m12gpmpbudget","12月毛利润/边际利润预算金额","12月毛利润/边际利润预算金额","money","Money","true","预算","3Q","1","2","12","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m12volumebudget","aigw_m12volumebudget","12月物量预算数","12月物量预算数","decimal","Decimal","true","预算","3Q","2","2","22","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m1_revenue_budget","aigw_m1revenuebudget","1月收入预算金额","1月收入预算金额","money","Money","true","预算","4Q","0","0","0","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m1_gpmp_budget","aigw_m1gpmpbudget","1月毛利润/边际利润预算金额","1月毛利润/边际利润预算金额","money","Money","true","预算","4Q","1","0","10","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m1volumebudget","aigw_m1volumebudget","1月物量预算数","1月物量预算数","decimal","Decimal","true","预算","4Q","2","0","20","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m2_revenue_budget","aigw_m2revenuebudget","2月收入预算金额","2月收入预算金额","money","Money","true","预算","4Q","0","1","1","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m2_gpmp_budget","aigw_m2gpmpbudget","2月毛利润/边际利润预算金额","2月毛利润/边际利润预算金额","money","Money","true","预算","4Q","1","1","11","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m2volumebudget","aigw_m2volumebudget","2月物量预算数","2月物量预算数","decimal","Decimal","true","预算","4Q","2","1","21","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m3_revenue_budget","aigw_m3revenuebudget","3月收入预算金额","3月收入预算金额","money","Money","true","预算","4Q","0","2","2","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"new_m3_gpmp_budget","aigw_m3gpmpbudget","3月毛利润/边际利润预算金额","3月毛利润/边际利润预算金额","money","Money","true","预算","4Q","1","2","12","false","false","false","none","false","currency","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"crc49_m3volumebudget","aigw_m3volumebudget","3月物量预算数","3月物量预算数","decimal","Decimal","true","预算","4Q","2","2","22","false","false","false","none","false","decimal","true","false","editable","amount_band_or_trend","exact_amount_prohibited"
"pricelevelid","pricelevelid","价目表","Price List","lookup","Lookup","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","region_or_mode_only","exclude"
"isrevenuesystemcalculated","isrevenuesystemcalculated","收入","Revenue","boolean","Boolean","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"totallineitemamount","totallineitemamount","明细金额","Total Detail Amount","money","Money","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"discountpercentage","discountpercentage","(-)折扣(%)","Opportunity Discount (%)","decimal","Decimal","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","exclude","exclude"
"discountamount","discountamount","(-)折扣","Opportunity Discount Amount","money","Money","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"totalamountlessfreight","totalamountlessfreight","折后金额","Total Pre-Freight Amount","money","Money","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"freightamount","freightamount","(+)运费金额","Freight Amount","money","Money","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"totaltax","totaltax","(+)总税款","Total Tax","money","Money","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"totalamount","totalamount","总金额","Total Amount","money","Money","true","产品","系统产品与金额","0","0","0","false","false","true","none","false","system_product_control","false","true","systemManaged","amount_band_or_trend","exact_amount_prohibited"
"ownerid","ownerid","负责人","Owner","lookup","Owner","true","摘要","Sales Person Info","1","2","6","true","true","false","none","false","text","true","false","editable","token_or_exclude","token_only"
